mode,num_producers,throughput_mps
yield,1,1395781.637717
yield,1,1534526.854220
yield,1,1350135.013501
yield,2,1704796.321220
yield,2,1762686.705631
yield,2,1813669.243986
yield,4,1971082.482563
yield,4,1924781.649474
yield,4,1929967.034599
yield,8,1773809.558031
yield,8,1779190.401117
yield,8,1788701.286057
yield,16,1462797.920596
yield,16,1471462.742376
yield,16,1446836.591314
yield,32,634764.094849
yield,32,635709.073951
yield,32,636185.791412
