mode,num_producers,throughput_mps
tail,1,1726453.098024
tail,1,1763668.430335
tail,1,1846911.553458
tail,2,2843034.415682
tail,2,2880096.710626
tail,2,3001579.778831
tail,4,2929459.250357
tail,4,2729742.055159
tail,4,2682577.796121
tail,8,1840462.212282
tail,8,1800980.280406
tail,8,1916312.892662
tail,16,1607881.586133
tail,16,1637976.326606
tail,16,1674155.994314
tail,32,116857.477835
tail,32,107772.563740
tail,32,68311.991103
